Ionization Energy (eV),70,80,90,100,110,120,124,124 (full)
a coefficient,0.011,0.003,0.132,0.04,0.034,0.484,0.001,0.0013
b coefficient,0,5.8,0,0,0,0,1.11,0.98
c coefficient,11.3,11.3,11.5,11.3,11.3,11.4,11.4,11.5
Trend p-value,<0.01,0.374,0.355,0.024,0.042,0.456,0.113,<0.01
s at 500 mV,0.0869,0.0874,0.087,0.0879,0.0882,0.088,0.0838,0.0825
Lower Limit of s,0.0765,0.0871,0.086,0.0845,0.0843,0.0877,0.0816,0.08
Upper Limit of s,0.0883,0.0884,0.0871,0.0883,0.0887,0.088,0.0881,0.087
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Energy,s @ 500 mV,minimum s,maximum s,,,,,
70,0.0869,0.0765,0.0883,,,,,
80,0.0874,0.0871,0.0884,,,,,
90,0.087,0.086,0.0871,,,,,
100,0.0879,0.0845,0.0883,,,,,
110,0.0882,0.0843,0.0887,,,,,
120,0.088,0.0877,0.088,,,,,
124,0.0838,0.0816,0.0881,,,,,
