idx,sa1,sa2,sa3,ref1,ref2,ref3
1,,,,1043.607,812.896,758.222
1,1001.466,779.66,726.937,1035.429,805.608,751.012
1,997.013,775.465,722.922,1032.403,802.704,748.151
1,995.027,773.392,720.856,1030.9,801.063,746.501
1,994.035,772.195,719.648,1029.973,799.936,745.359
1,993.351,771.323,718.796,1029.398,799.165,744.561
1,992.868,770.703,718.068,1028.926,798.505,743.903
1,992.555,770.14,717.612,1028.595,797.997,743.397
1,992.184,769.597,716.909,1028.187,797.42,742.877
1,991.877,769.106,716.472,1027.872,796.886,742.315
1,991.629,768.704,716.089,1027.536,796.474,741.884
2,,,,1484.43,1157.422,1080.066
2,1519.194,1184.714,1105.699,1490.737,1162.807,1085.256
2,1522.256,1187.431,1108.223,1492.172,1164.199,1086.696
2,1522.786,1188.011,1108.897,1492.222,1164.361,1086.853
2,1522.47,1187.843,1108.726,1491.789,1164.055,1086.553
2,1522.018,1187.58,1108.505,1491.353,1163.78,1086.381
2,1521.403,1187.097,1108.053,1490.587,1163.148,1085.782
2,1520.663,1186.502,1107.598,1489.874,1162.59,1085.244
2,1519.962,1185.921,1106.968,1489.114,1161.975,1084.767
2,1519.203,1185.282,1106.419,1488.37,1161.404,1084.111
2,1518.542,1184.654,1105.942,1487.696,1160.755,1083.653
3,,,,2011.043,1565.829,1460.888
3,2024.929,1577.018,1471.529,2016.984,1571.129,1466.025
3,2027.191,1579.288,1473.823,2017.34,1571.742,1466.937
3,2026.533,1579.049,1473.736,2016.554,1571.418,1466.648
3,2025.491,1578.442,1473.257,2015.182,1570.524,1465.921
3,2023.998,1577.409,1472.335,2013.704,1569.477,1464.991
3,2022.623,1576.389,1471.571,2012.271,1568.389,1464
3,2021.182,1575.247,1470.541,2010.672,1567.155,1462.965
3,2019.666,1574.151,1469.551,2009.249,1565.988,1462.024
3,2018.093,1572.957,1468.492,2007.778,1564.88,1460.87
3,2016.672,1571.691,1467.313,2006.227,1563.495,1459.762
4,,,,2527.563,1965.918,1833.975
4,2526.958,1965.78,1834.018,2530.72,1968.953,1837.19
4,2527.055,1966.353,1834.838,2529.55,1968.368,1836.778
4,2525.381,1965.266,1834.022,2527.545,1967.088,1835.777
4,2523.313,1963.891,1832.755,2525.317,1965.454,1834.327
4,2520.929,1962.131,1831.222,2522.902,1963.645,1832.6
4,2518.648,1960.415,1829.749,2520.483,1961.808,1831.062
4,2516.367,1958.633,1828.2,2518.269,1960.008,1829.528
4,2514.199,1956.919,1826.675,2515.985,1958.254,1827.912
4,2511.919,1955.072,1825.05,2513.638,1956.356,1826.238
4,2509.573,1953.144,1823.134,2511.383,1954.507,1824.587
5,,,,2988.924,2323.249,2172.086
5,3013.689,2342.758,2190.474,2990.923,2325.473,2174.455
5,3012.54,2342.391,2190.394,2988.865,2324.206,2173.516
5,3010.028,2340.709,2188.958,2985.961,2322.166,2171.589
5,3006.809,2338.373,2186.843,2982.66,2319.666,2169.443
5,3003.418,2335.831,2184.604,2979.441,2317.197,2167.287
5,3000.309,2333.373,2182.463,2976.304,2314.777,2165.081
5,2997.031,2330.803,2180.092,2973.086,2312.253,2162.665
5,2993.628,2328.063,2177.582,2969.55,2309.371,2160.228
5,2990.374,2325.448,2175.301,2966.46,2306.824,2157.959
5,2987.193,2322.803,2172.844,2963.261,2304.257,2155.479
6,,,,981.336,758.399,705.983
6,962.424,743.237,691.629,960.348,741.296,689.639
