Index,Date,Sample_Name,Reference_Gas,Setting,Electron_Energy
1,2/21/2019,0,0,0,100
2,2/21/2019,0,0,0,100
3,2/21/2019,0,0,0,100
4,2/21/2019,0,0,0,100
5,2/21/2019,0,0,0,100
6,2/21/2019,0,0,0,100
7,2/25/2019,0,0,1,124
8,2/25/2019,0,0,1,124
9,2/25/2019,0,0,1,124
10,2/25/2019,0,0,1,124
11,2/25/2019,0,0,1,124
12,2/25/2019,0,0,1,124
13,2/25/2019,0,0,1,124
14,2/26/2019,0,0,1,124
15,2/26/2019,0,0,1,124
16,2/26/2019,D0,0,1,124
17,2/26/2019,D0,0,1,124
18,2/26/2019,D0,0,1,124
19,2/26/2019,D0,0,1,124
20,2/26/2019,D0,0,1,124
21,2/26/2019,D0,0,1,124
22,2/26/2019,D0,0,1,124
23,2/26/2019,D0,0,1,124
24,2/26/2019,D0,0,1,124
25,2/26/2019,D0,0,1,124
26,2/26/2019,D0,0,1,124
27,2/26/2019,D0,0,1,124
28,2/26/2019,D0,0,1,124
29,2/26/2019,D0,0,1,124
30,2/26/2019,D0,0,1,124
31,2/26/2019,D0,0,1,124
32,2/26/2019,C0,0,1,124
33,2/26/2019,C0,0,1,124
34,2/26/2019,C0,0,1,124
35,2/26/2019,C0,0,1,124
36,2/26/2019,C0,0,1,124
37,2/26/2019,C0,0,1,124
38,2/26/2019,C0,0,1,124
39,2/26/2019,C0,0,1,124
40,2/27/2019,B0,0,1,124
41,2/27/2019,B0,0,1,124
42,2/27/2019,B0,0,1,124
43,2/27/2019,B0,0,1,124
44,2/27/2019,B0,0,1,124
45,2/27/2019,B0,0,1,124
46,2/27/2019,B0,0,1,124
47,2/27/2019,B0,0,1,124
48,2/27/2019,A0,0,1,124
49,2/27/2019,A0,0,1,124
50,2/27/2019,A0,0,1,124
51,2/27/2019,A0,0,1,124
52,2/27/2019,A0,0,1,124
53,2/27/2019,A0,0,1,124
54,2/27/2019,A0,0,1,124
55,2/27/2019,A0,0,1,124
56,3/1/2019,0,0,1,124
57,3/1/2019,0,0,1,124
58,3/1/2019,0,0,1,124
59,3/1/2019,0,0,1,124
60,3/1/2019,0,0,1,124
61,3/1/2019,0,0,1,124
62,3/1/2019,0,0,1,124
63,3/1/2019,0,0,1,124
64,3/4/2019,D0,0,0,100
65,3/4/2019,D0,0,0,100
66,3/4/2019,D0,0,0,100
67,3/4/2019,D0,0,0,100
68,3/4/2019,D0,0,0,100
69,3/4/2019,D0,0,0,100
70,3/4/2019,D0,0,0,100
71,3/4/2019,D0,0,0,100
72,3/4/2019,D0,0,1,124
73,3/4/2019,D0,0,1,124
74,3/4/2019,D0,0,1,124
75,3/4/2019,D0,0,1,124
76,3/4/2019,A0,0,1,124
77,3/4/2019,A0,0,1,124
78,3/4/2019,A0,0,1,124
79,3/4/2019,A0,0,1,124
80,3/4/2019,A0,0,1,124
81,3/4/2019,A0,0,1,124
82,3/4/2019,A0,0,1,124
83,3/4/2019,A0,0,1,124
84,3/4/2019,A0,0,1,124
85,3/4/2019,A0,0,1,124
86,3/4/2019,A0,0,1,124
87,3/4/2019,A0,0,1,124
88,3/5/2019,A0,0,1,124
89,3/5/2019,A0,0,1,124
90,3/5/2019,A0,0,1,124
91,3/5/2019,A0,0,1,124
92,3/5/2019,A0,0,1,124
93,3/5/2019,A0,0,1,124
94,3/5/2019,A0,0,1,124
95,3/5/2019,A0,0,1,124
96,3/5/2019,A0,0,1,124
97,3/5/2019,A0,0,1,124
98,3/5/2019,A0,0,1,124
99,3/5/2019,A0,0,1,124
100,3/5/2019,A0,0,1,124
101,3/5/2019,A0,0,1,124
102,3/5/2019,A0,0,1,124
103,3/5/2019,A0,0,1,124
104,3/5/2019,B0,0,1,124
105,3/5/2019,B0,0,1,124
106,3/5/2019,B0,0,1,124
107,3/5/2019,B0,0,1,124
108,3/5/2019,B0,0,1,124
109,3/5/2019,B0,0,1,124
110,3/5/2019,B0,0,1,124
111,3/5/2019,B0,0,1,124
112,3/6/2019,B0,0,1,124
113,3/6/2019,B0,0,1,124
114,3/6/2019,B0,0,1,124
115,3/6/2019,B0,0,1,124
116,3/6/2019,B0,0,1,124
117,3/6/2019,B0,0,1,124
118,3/6/2019,B0,0,1,124
119,3/6/2019,B0,0,1,124
120,3/6/2019,B0,0,1,124
121,3/6/2019,B0,0,1,124
122,3/6/2019,B0,0,1,124
123,3/6/2019,B0,0,1,124
124,3/6/2019,C0,0,1,124
125,3/6/2019,C0,0,1,124
126,3/6/2019,C0,0,1,124
127,3/6/2019,C0,0,1,124
128,3/6/2019,C0,0,1,124
129,3/6/2019,C0,0,1,124
130,3/6/2019,C0,0,1,124
131,3/6/2019,C0,0,1,124
132,3/6/2019,C0,0,1,124
133,3/6/2019,C0,0,1,124
134,3/6/2019,C0,0,1,124
135,3/6/2019,C0,0,1,124
136,3/7/2019,C0,0,1,124
137,3/7/2019,C0,0,1,124
138,3/7/2019,C0,0,1,124
139,3/7/2019,C0,0,1,124
140,3/7/2019,C0,0,1,124
141,3/7/2019,C0,0,1,124
142,3/7/2019,C0,0,1,124
143,3/7/2019,C0,0,1,124
144,3/7/2019,C0,0,1,124
145,3/7/2019,C0,0,1,124
146,3/7/2019,C0,0,1,124
147,3/7/2019,C0,0,1,124
148,3/11/2019,A1,0,1,124
149,3/11/2019,A1,0,1,124
150,3/11/2019,A1,0,1,124
151,3/11/2019,A1,0,1,124
152,3/11/2019,A1,0,1,124
153,3/11/2019,A1,0,1,124
154,3/11/2019,A1,0,1,124
155,3/11/2019,A1,0,1,124
156,3/11/2019,A1,0,1,124
157,3/11/2019,A1,0,1,124
158,3/11/2019,A1,0,1,124
159,3/11/2019,A1,0,1,124
160,3/11/2019,A1,0,1,124
161,3/11/2019,A1,0,1,124
162,3/12/2019,A1,0,1,124
163,3/12/2019,A1,0,1,124
164,3/12/2019,A1,0,1,124
165,3/12/2019,A1,0,1,124
166,3/12/2019,A1,0,1,124
167,3/12/2019,A1,0,1,124
168,3/12/2019,A1,0,1,124
169,3/12/2019,A1,0,1,124
170,3/12/2019,A1,0,1,124
171,3/12/2019,A1,0,1,124
172,3/12/2019,A1,0,1,124
173,3/12/2019,A1,0,1,124
174,3/12/2019,A1,0,1,124
175,3/12/2019,A1,0,1,124
176,3/12/2019,A1,0,1,124
177,3/12/2019,A1,0,1,124
178,2/22/2019,0,0,0,100
179,2/22/2019,0,0,0,100
180,2/22/2019,0,0,0,100
181,2/22/2019,0,0,0,100
182,2/22/2019,0,0,0,100
183,2/22/2019,0,0,0,100
184,2/22/2019,0,0,0,100
185,2/22/2019,0,0,0,100
186,2/22/2019,0,0,0,100
187,2/22/2019,0,0,0,100
188,2/22/2019,0,0,0,100
189,2/22/2019,0,0,0,100
190,2/22/2019,0,0,0,100
191,2/22/2019,0,0,0,100
192,2/22/2019,0,0,0,100
193,2/22/2019,0,0,0,100
194,2/22/2019,0,0,0,100
195,2/22/2019,0,0,0,100
196,2/22/2019,0,0,0,100
197,2/22/2019,A0,0,0,100
198,2/22/2019,A0,0,0,100
199,2/22/2019,A0,0,0,100
200,2/23/2019,A0,0,0,100
201,2/23/2019,A0,0,0,100
202,2/23/2019,A0,0,0,100
203,2/23/2019,A0,0,0,100
204,2/23/2019,A0,0,0,100
205,2/23/2019,A0,0,0,100
206,2/23/2019,A0,0,0,100
207,2/23/2019,A0,0,0,100
208,2/23/2019,A0,0,0,100
209,2/23/2019,B0,0,0,100
210,2/23/2019,B0,0,0,100
211,2/23/2019,B0,0,0,100
212,2/23/2019,B0,0,0,100
213,2/23/2019,B0,0,0,100
214,2/23/2019,B0,0,0,100
215,2/23/2019,B0,0,0,100
216,2/23/2019,B0,0,0,100
217,2/23/2019,B0,0,0,100
218,2/23/2019,B0,0,0,100
219,2/23/2019,B0,0,0,100
220,2/23/2019,B0,0,0,100
221,2/23/2019,B0,0,0,100
222,2/23/2019,B0,0,0,100
223,2/23/2019,B0,0,0,100
224,2/23/2019,B0,0,0,100
225,2/23/2019,B0,0,0,100
226,2/23/2019,B0,0,0,100
227,2/24/2019,C0,0,0,100
228,2/24/2019,C0,0,0,100
229,2/24/2019,C0,0,0,100
230,2/24/2019,C0,0,0,100
231,2/24/2019,C0,0,0,100
232,2/24/2019,C0,0,0,100
233,2/24/2019,C0,0,0,100
234,2/24/2019,C0,0,0,100
235,2/24/2019,C0,0,0,100
236,2/24/2019,C0,0,0,100
237,2/24/2019,C0,0,0,100
238,2/24/2019,C0,0,0,100
239,2/24/2019,C0,0,0,100
240,2/24/2019,C0,0,0,100
241,2/24/2019,C0,0,0,100
242,2/24/2019,C0,0,0,100
243,2/24/2019,C0,0,0,100
244,2/24/2019,C0,0,0,100
245,2/24/2019,D0,0,0,100
246,2/24/2019,D0,0,0,100
247,2/24/2019,D0,0,0,100
248,2/24/2019,D0,0,0,100
249,2/24/2019,D0,0,0,100
250,2/24/2019,D0,0,0,100
251,2/24/2019,D0,0,0,100
252,2/24/2019,D0,0,0,100
253,2/24/2019,D0,0,0,100
254,2/24/2019,D0,0,0,100
255,2/24/2019,D0,0,0,100
256,2/24/2019,D0,0,0,100
257,2/24/2019,D0,0,0,100
258,2/24/2019,D0,0,0,100
259,2/24/2019,D0,0,0,100
260,2/24/2019,D0,0,0,100
261,2/24/2019,D0,0,0,100
262,2/24/2019,D0,0,0,100
263,3/7/2019,0,0,0,100
264,3/7/2019,0,0,0,100
265,3/7/2019,0,0,0,100
266,3/7/2019,0,0,0,100
267,3/7/2019,0,0,0,100
268,3/7/2019,0,0,0,100
269,3/7/2019,0,0,0,100
270,3/7/2019,0,0,0,100
